Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
12;1.77;0.04;3.72;140.00;
13;2.43;0.05;4.91;245.00;
17;7.19;0.69;68.83;53.00;
34;31.40;0.54;54.35;699.00;
65;232.44;0.36;35.93;660.80;
100;751.74;0.45;45.30;16411.00;
171;4382.93;0.79;79.05;2177.80;
14;2.71;0.41;41.47;1378.00;
29;20.09;0.40;40.37;650.00;
100;816.26;0.35;35.18;7487.20;
137;2769.15;0.44;44.43;31032.40;
150;2791.67;0.46;46.45;12136.80;
200;8659.86;0.42;41.54;12228.60;
Parowanie = 0.75; Alfa = 1; Beta = 2; Stala = 5; 
5;0.21;0.03;3.06;3.00;
6;0.36;0.03;3.39;4.00;
7;0.06;0.00;0.00;0.00;
8;0.65;0.09;8.70;10.00;
9;0.18;0.00;0.00;0.00;
10;0.23;0.00;0.00;0.00;
11;1.69;0.08;8.33;13.00;
12;2.82;0.03;2.82;5.00;
13;4.10;0.02;1.61;2.80;
5;0.21;0.10;10.00;20.00;
6;0.13;0.00;0.00;0.00;
7;0.37;0.00;0.00;0.00;
8;1.07;0.02;1.62;15.00;
9;1.92;0.01;1.45;20.00;
10;2.72;0.01;1.01;20.00;
11;2.32;0.01;1.08;30.00;
12;3.38;0.02;2.12;80.00;
13;2.36;0.02;1.81;90.00;
17;11.05;0.09;9.09;7.00;
34;42.45;0.09;9.49;122.00;
65;443.99;0.16;15.85;291.40;
100;1798.95;0.17;16.69;6047.60;
171;5899.10;0.19;18.93;521.60;
14;3.38;0.07;6.89;229.00;
29;28.97;0.07;6.89;111.00;
100;1512.67;0.13;12.78;2719.00;
137;4259.22;0.13;12.67;8849.00;
150;5444.17;0.18;17.52;4577.00;
200;12311.14;0.20;19.89;5854.80;
Parowanie = 0.75; Alfa = 1; Beta = 3; Stala = 5; 
5;0.22;0.29;28.57;28.00;
6;0.16;0.00;0.00;0.00;
7;0.47;0.06;5.56;5.00;
8;0.14;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;1.69;0.01;1.28;2.00;
12;1.06;0.00;0.00;0.00;
13;3.02;0.02;1.72;3.00;
5;0.21;0.12;12.50;25.00;
6;0.04;0.00;0.00;0.00;
7;0.63;0.03;2.59;15.00;
8;0.82;0.02;2.16;20.00;
9;0.85;0.01;0.73;10.00;
10;2.39;0.01;1.26;25.00;
11;2.47;0.01;0.90;25.00;
12;2.06;0.01;1.33;50.00;
13;2.33;0.00;0.40;20.00;
17;7.59;0.06;6.49;5.00;
34;39.60;0.07;7.39;95.00;
65;547.50;0.09;9.19;169.00;
100;1180.55;0.14;13.85;5017.60;
171;4294.31;0.23;23.48;647.00;
14;5.22;0.07;6.56;218.00;
29;40.70;0.09;9.01;145.00;
100;1215.69;0.09;8.73;1857.40;
137;3707.06;0.10;9.78;6830.00;
150;5346.94;0.13;13.21;3450.80;
200;9244.52;0.16;15.72;4628.60;
Parowanie = 0.75; Alfa = 1; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.31;0.03;3.39;4.00;
7;0.63;0.06;5.56;5.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.23;0.00;0.00;0.00;
11;0.57;0.00;0.00;0.00;
