 Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5;
7;0.06;0.00;0.00;0.00;
8;0.71;0.01;1.08;10.00;
9;0.86;0.02;2.18;30.00;
10;1.56;0.02;1.51;30.00;
11;1.82;0.01;1.26;35.00;
12;1.74;0.01;1.20;45.00;
13;4.28;0.01;0.84;42.00;
17;5.74;0.00;0.00;0.00;
34;55.92;0.12;11.66;150.00;
65;371.62;0.10;10.17;187.00;
100;1550.64;0.11;11.21;4061.80;
171;6471.50;0.19;19.43;535.20;
14;4.76;0.03;2.65;88.00;
29;33.64;0.06;6.34;102.00;
100;1464.56;0.11;10.85;2309.80;
137;4306.26;0.10;10.10;7052.80;
150;5431.19;0.12;11.56;3019.40;
200;11849.17;0.13;13.48;3969.20;
Parowanie = 0.5; Alfa = 3; Beta = 5; Stala = 5; 
5;0.05;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.32;0.00;0.00;0.00;
9;0.23;0.00;0.00;0.00;
10;0.24;0.00;0.00;0.00;
11;1.44;0.01;1.28;2.00;
12;0.56;0.00;0.00;0.00;
13;3.57;0.01;0.92;1.60;
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.15;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;1.19;0.01;0.73;10.00;
10;1.13;0.01;0.76;15.00;
11;1.84;0.01;0.90;25.00;
12;4.24;0.01;0.53;20.00;
13;4.78;0.01;0.50;25.00;
17;9.91;0.23;23.38;18.00;
34;47.08;0.15;15.32;197.00;
65;411.17;0.10;10.17;187.00;
100;1654.38;0.12;12.26;4441.60;
171;7253.52;0.24;24.49;674.80;
14;4.83;0.03;2.65;88.00;
29;28.03;0.06;5.90;95.00;
100;1462.17;0.11;11.48;2443.00;
137;3784.67;0.09;9.10;6357.20;
150;5041.41;0.13;12.72;3323.00;
200;12541.41;0.12;11.64;3426.00;
Parowanie = 0.5; Alfa = 5; Beta = 2; Stala = 5; 
5;0.02;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.18;0.00;0.00;0.00;
10;1.32;0.00;0.47;1.00;
11;1.72;0.01;1.28;2.00;
12;2.51;0.03;2.82;5.00;
13;3.09;0.04;4.02;7.00;
5;0.02;0.00;0.00;0.00;
6;0.13;0.00;0.00;0.00;
7;0.60;0.02;1.72;10.00;
8;0.08;0.00;0.00;0.00;
9;1.29;0.02;1.82;25.00;
10;1.80;0.02;2.27;45.00;
11;2.27;0.02;1.62;45.00;
12;3.16;0.01;1.06;40.00;
13;4.16;0.01;1.20;60.00;
17;8.46;0.03;2.60;2.00;
34;53.11;0.15;15.32;197.00;
65;400.82;0.12;12.31;226.40;
100;1595.39;0.18;18.38;6659.60;
171;6499.70;0.24;23.77;654.80;
14;4.00;0.06;5.69;189.00;
29;32.01;0.06;5.53;89.00;
100;1449.66;0.15;15.13;3220.20;
137;4053.91;0.11;10.99;7673.60;
150;5332.56;0.12;11.63;3038.00;
200;12172.34;0.14;13.99;4119.20;
Parowanie = 0.5; Alfa = 5; Beta = 3; Stala = 5; 
5;0.07;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.17;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.24;0.00;0.00;0.00;
11;1.72;0.01;1.28;2.00;
12;0.59;0.00;0.00;0.00;
13;3.09;0.02;2.30;4.00;
5;0.02;0.00;0.00;0.00;
6;0.45;0.03;2.82;10.00;
7;0.64;0.02;1.72;10.00;
