Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
12;0.36;0.00;0.00;0.00;
13;4.12;0.02;1.72;3.00;
5;0.02;0.00;0.00;0.00;
6;0.13;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.50;0.00;0.00;0.00;
10;1.91;0.01;0.76;15.00;
11;1.64;0.01;0.54;15.00;
12;3.09;0.00;0.40;15.00;
13;3.60;0.01;0.50;25.00;
17;12.18;0.17;16.88;13.00;
34;58.33;0.10;10.50;135.00;
65;512.06;0.09;9.31;171.20;
100;1200.24;0.12;12.18;4411.40;
171;7580.91;0.21;20.97;577.60;
14;3.45;0.03;2.65;88.00;
29;35.59;0.10;10.06;162.00;
100;1328.40;0.10;9.59;2040.20;
137;4036.80;0.09;8.93;6241.00;
150;5268.31;0.10;9.59;2505.40;
200;13513.37;0.12;11.78;3468.40;
Parowanie = 0.75; Alfa = 3; Beta = 2; Stala = 5; 
5;0.05;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.87;0.10;9.52;10.00;
10;0.13;0.00;0.00;0.00;
11;1.44;0.01;1.28;2.00;
12;0.37;0.00;0.00;0.00;
13;2.20;0.05;5.17;9.00;
5;0.05;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.47;0.02;1.72;10.00;
8;0.64;0.07;7.03;65.00;
9;0.86;0.01;1.09;15.00;
10;2.07;0.02;1.76;35.00;
11;1.39;0.02;1.98;55.00;
12;1.92;0.02;1.59;60.00;
13;2.18;0.02;2.31;115.00;
17;12.60;0.03;2.60;2.00;
34;37.08;0.04;3.89;50.00;
65;262.62;0.16;16.22;298.20;
100;1042.17;0.15;14.93;5408.80;
171;4397.06;0.25;24.81;683.40;
14;3.75;0.09;8.88;295.00;
29;25.84;0.04;4.41;71.00;
100;983.35;0.12;12.21;2598.00;
137;2557.02;0.11;11.17;7799.80;
150;4086.87;0.13;12.78;3340.20;
200;10153.40;0.13;12.51;3683.40;
Parowanie = 0.75; Alfa = 3; Beta = 3; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.24;0.00;0.00;0.00;
11;1.42;0.03;2.56;4.00;
12;2.14;0.03;2.82;5.00;
13;2.18;0.03;2.87;5.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.15;0.00;0.00;0.00;
8;0.64;0.01;1.08;10.00;
9;1.01;0.01;1.45;20.00;
10;1.43;0.02;1.51;30.00;
11;2.52;0.01;0.72;20.00;
12;2.25;0.01;0.80;30.00;
13;4.09;0.01;1.10;55.00;
17;7.74;0.14;14.29;11.00;
